time,aveEDA,d005_EDA
2019-07-26-21-03,0.110999473,2
2019-07-26-21-04,0.124451463,3
2019-07-26-21-05,0.228346973,4
2019-07-26-21-06,0.46707353,9
2019-07-26-21-07,0.741161159,14
2019-07-26-21-08,0.110999473,2
2019-07-26-21-09,0.151414424,3
2019-07-26-21-10,0.228346973,4
2019-07-26-21-11,0.46707353,9
2019-07-26-21-12,0.741161159,14
2019-07-26-21-13,0.741161159,14
2019-08-30-16-59,0.2931008025833331,5
2019-08-30-17-00,0.2266544470833333,4
2019-08-30-17-01,0.18079070891666651,3
2019-08-30-17-02,0.18853255245833325,3
2019-08-30-17-03,0.19208287187499987,3
2019-08-30-17-04,0.16675394858333342,3
2019-08-30-17-05,0.15384376374999992,3
2019-08-30-17-06,0.13549826943333323,2
2019-08-30-17-07,0.13051679443333322,2
2019-08-30-17-08,0.14086416608333335,2
2019-08-30-17-09,0.12186728925416664,2
2019-08-30-17-10,0.12934217008333315,2
2019-08-30-17-11,0.12048977537499998,2
2019-08-30-17-12,0.1087221761916667,2
2019-08-30-17-13,0.09852430321666662,1
2019-08-30-17-14,0.08905256004166677,1
2019-08-30-17-15,0.08631354921666663,1
2019-08-30-17-16,0.0841778704416667,1
2019-08-30-17-17,0.08286442809583325,1
2019-08-30-17-18,0.09855099875416672,1
2019-08-30-17-19,0.16803535780416665,3
2019-08-30-17-20,0.35900273979166675,7
2019-08-30-17-21,0.9431838838750003,18
2019-08-30-17-22,1.8391800420833329,36
2019-08-30-17-23,1.6396858699999994,32
2019-08-30-17-24,1.3504431683333329,27
2019-08-30-17-25,1.2346021149999997,24
2019-08-30-17-26,1.0747541666666665,21
2019-08-30-17-27,0.841382992166667,16
2019-08-30-17-28,1.1575548249583334,23
2019-08-30-17-29,1.4992465794583334,29
2019-08-30-17-30,1.6689343854166663,33
2019-08-30-17-31,2.182454231249998,43
2019-08-30-17-33,2.310439429166668,46
2019-08-30-17-34,2.383605239166666,47
2019-08-30-17-35,2.6755449899999975,53
2019-08-30-17-36,2.683773342500001,53
2019-08-30-17-37,2.9741971420833315,59
2019-08-30-17-38,2.7979933224999987,55
2019-08-30-17-39,2.951437135416667,59
2019-08-30-17-40,2.9525559066666673,59
2019-08-30-17-41,2.9565880087499985,59
2019-08-30-17-42,2.9638439645833334,59
2019-08-30-17-43,2.7484512833333308,54
2019-08-30-17-44,2.728414773333335,54
2019-08-30-17-45,3.1652298983333322,63
2019-08-30-17-46,3.2075877745833323,64
2019-08-30-17-47,3.1346425641666644,62
2019-08-30-17-48,3.538026279583333,70
2019-08-30-17-49,2.9217263554166655,58
2019-08-30-17-50,2.597797150416667,51
2019-08-30-17-51,3.90976650875,78
2019-08-30-17-52,5.6674153658333335,113
2019-08-30-17-53,4.361152425416665,87
2019-08-30-17-54,3.8464235950000005,76
2019-08-30-17-55,4.651900837083334,93
2019-08-30-17-56,4.627643603916663,92
2019-08-30-17-59,0.7600272809689086,15
