time,average_humanPower,D5_humanPower,average_ThrottleOutput,D5_ThrottleOutput,aveEDA,d005_EDA,frequence
2019-08-30-16-59,0.0,0.0,1.0,0.0,0.293100803,5.0,0.022727272727272728
2019-08-30-17-00,0.0,0.0,1.0,0.0,0.22665444699999998,4.0,0.022727272727272728
2019-08-30-17-01,0.0,0.0,1.0,0.0,0.180790709,3.0,0.09090909090909091
2019-08-30-17-02,0.0,0.0,1.0,0.0,0.188532552,3.0,0.09090909090909091
2019-08-30-17-03,0.0,0.0,1.0,0.0,0.192082872,3.0,0.09090909090909091
2019-08-30-17-04,0.0,0.0,1.0,0.0,0.166753949,3.0,0.09090909090909091
2019-08-30-17-07,0.0,0.0,1.0,0.0,0.130516794,2.0,0.022727272727272728
2019-08-30-17-08,14.5106383,2.0,1.2760638229999999,0.0,0.14086416599999999,2.0,0.045454545454545456
2019-08-30-17-09,14.87931034,2.0,1.293310352,0.0,0.121867289,2.0,0.045454545454545456
2019-08-30-17-10,68.91379309999999,13.0,1.976327586,0.0,0.12934217,2.0,0.022727272727272728
2019-08-30-17-11,25.17021277,5.0,1.2496382940000001,0.0,0.120489775,2.0,0.022727272727272728
2019-08-30-17-12,8.982758621,1.0,1.1954655220000001,0.0,0.10872217599999999,2.0,0.022727272727272728
2019-08-30-17-13,75.74137931,15.0,2.0540689640000003,0.0,0.09852430300000001,1.0,0.022727272727272728
2019-08-30-17-14,15.05172414,3.0,1.318189654,0.0,0.08905256,1.0,0.022727272727272728
2019-08-30-17-15,50.32758621,10.0,1.878293107,0.0,0.086313549,1.0,0.06818181818181818
2019-08-30-17-16,54.86206897,10.0,2.100017243,0.0,0.08417787,1.0,0.06818181818181818
2019-08-30-17-18,50.32758621,10.0,2.0320517319999998,0.0,0.098550999,1.0,0.06818181818181818
2019-08-30-17-17,39.46551724,7.0,1.796672424,0.0,0.082864428,1.0,0.022727272727272728
2019-08-30-17-19,58.0862069,11.0,2.095965519,0.0,0.168035358,3.0,0.022727272727272728
2019-08-30-17-20,51.43103448,10.0,1.9792413830000002,0.0,0.35900274,7.0,0.022727272727272728
2019-08-30-17-21,26.12068966,5.0,1.572793099,0.0,0.9431838840000001,18.0,0.022727272727272728
2019-08-30-17-22,41.18965517,8.0,2.0752413830000003,0.0,1.839180042,36.0,0.022727272727272728
2019-08-30-17-23,54.31034483,10.0,2.142879287,0.0,1.63968587,32.0,0.022727272727272728
2019-08-30-17-24,55.37931034,11.0,2.178275861,0.0,1.3504431680000002,27.0,0.022727272727272728
2019-08-30-17-25,50.08620689999999,10.0,2.1820862009999997,0.0,1.234602115,24.0,0.022727272727272728
2019-08-30-17-26,65.67241379,13.0,2.197206892,0.0,1.074754167,21.0,0.022727272727272728
2019-08-30-17-27,18.74137931,3.0,1.525293112,0.0,0.841382992,16.0,0.022727272727272728
2019-08-30-17-28,31.43103448,6.0,1.37060345,0.0,1.157554825,23.0,0.022727272727272728
2019-08-30-17-29,80.92857143,16.0,1.739571435,0.0,1.499246579,29.0,0.022727272727272728
2019-08-30-17-30,105.1190476,21.0,1.7309761869999998,0.0,1.668934385,33.0,0.022727272727272728
2019-08-30-17-31,45.58695652,9.0,1.681130425,0.0,2.182454231,43.0,0.022727272727272728
2019-08-30-17-33,68.90909091,13.0,1.738454537,0.0,2.310439429,46.0,0.022727272727272728
2019-08-30-17-34,46.06818182,9.0,1.5960227359999999,0.0,2.383605239,47.0,0.022727272727272728
2019-08-30-17-35,59.6,11.0,1.6498400119999999,0.0,2.67554499,53.0,0.045454545454545456
2019-08-30-17-36,59.77419355,11.0,1.8040967719999998,0.0,2.683773343,53.0,0.045454545454545456
2019-08-30-17-38,0.0,0.0,1.0,0.0,2.797993322,55.0,0.022727272727272728
2019-08-30-17-39,14.45454545,2.0,1.4282727240000002,0.0,2.951437135,59.0,0.022727272727272728
2019-08-30-17-40,56.45454545,11.0,1.9512727369999998,0.0,2.952555907,59.0,0.022727272727272728
2019-08-30-17-41,49.36,9.0,1.809280005,0.0,2.956588009,59.0,0.022727272727272728
2019-08-30-17-42,43.53571429,8.0,1.8624642919999999,0.0,2.963843965,59.0,0.022727272727272728
2019-08-30-17-43,44.375,8.0,1.8821250090000001,0.0,2.748451283,54.0,0.022727272727272728
2019-08-30-17-44,0.0,0.0,1.0,0.0,2.728414773,54.0,0.022727272727272728
2019-08-30-17-46,0.0,0.0,1.0,0.0,3.207587775,64.0,0.022727272727272728
2019-08-30-17-51,0.0,0.0,1.0375806440000002,0.0,3.909766509,78.0,0.022727272727272728
